"Brand,""Sottobrand"",""Tipologia"",""EAN"",""COD."",""Descrizione"",""PZ / CRT"",""listino unitario  2025"",""Prezzo netto"""
"Loctite Super Attak,""Gel"",""STD"",""8004630921386"",""2954132"",""Loctite Super Attak Creative 3g Scuola Ufficio - Ocean"",""12"",""5.67"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630921386"",""2633671"",""LOCTITE Super Attak Creative 3g Scuola Ufficio - Strip 12pz"",""12"",""5.67"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630921386"",""2633176"",""LOCTITE Super Attak Creative 3g Scuola Ufficio - Palbox 96pz"",""96"",""5.67"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630904327"",""2947515"",""LOCTITE Super Attak Power Gel 3g - Ocean"",""24"",""3.93"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630904327"",""2633675"",""LOCTITE Super Attak Power Gel 3g - 2 Strip da 12pz"",""24"",""3.93"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630904327"",""2923199"",""LOCTITE Super Attak Power Gel 3g - Palbox 72pz"",""72"",""3.93"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630904327"",""2632285"",""LOCTITE Super Attak Power Gel 3g - Palbox 96pz"",""96"",""3.93"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630916757"",""2631567"",""LOCTITE Super Attak Power Gel Mini Dosi 3x1g"",""24"",""4.45"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630916757"",""2633892"",""LOCTITE Super Attak Power Gel Mini Dosi 3x1g - 2 Strip da 12pz"",""24"",""4.45"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630904341"",""2632282"",""LOCTITE Super Attak Power Gel Control 3g"",""12"",""5.67"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630931675"",""2943086"",""LOCTITE Super Attak Gel Riposizionabile 3g"",""24"",""4.10"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630931675"",""2968138"",""LOCTITE Super Attak Gel Riposizionabile 3g - 2 strip da 12 pz"",""24"",""4.10"",""0"""
"Loctite Super Attak,""Gel"",""STD"",""8004630931675"",""2968139"",""LOCTITE Super Attak Gel Riposizionabile 3g - Palbox 72 pz"",""72"",""4.10"",""0"""
"Loctite Super Attak,""Speciali"",""STD"",""8000776140414"",""2632280"",""LOCTITE Super Attak Vetro 3g"",""24"",""4.05"",""0"""
"Loctite Super Attak,""Speciali"",""STD"",""8004630888641"",""2632283"",""LOCTITE Super Attak Plastica 2g+4ml"",""12"",""10.77"",""0"""
"Loctite Super Attak,""Speciali"",""STD"",""8000776196183"",""2632233"",""LOCTITE Scollatutto 5g"",""12"",""5.83"",""0"""
"Loctite Super Attak,""Box"",""su commessa"",""8000776157665"",""2633668"",""LOCTITE Super Attak Precision - Palbox Misto 108pz"",""108"","""",""0"""
"Loctite Super Attak,""Box"",""PROM"",""8000776157665"",""2961180"",""LOCTITE Super Attak Mix- Palbox Misto Promo Linea 96pcs "",""96"","""",""0"""
"Loctite Super Attak,""Box"",""PROM"",""8004630935192"",""3035445"",""LOCTITE Super Attack mix: Palbox 72 pz"",""72"",""0.00"",""0"""
"Loctite,""Gel"",""STD"",""8004630916160"",""1978092"",""LOCTITE 60Sec 20g - 12pz"",""12"",""8.27"",""0"""
"Loctite,""Gel"",""STD"",""8004630916160"",""2029102"",""LOCTITE 60Sec 20g - STRIP 12pz"",""12"",""8.27"",""0"""
"Pritt,""Stick"",""STD"",""84155863"",""200040"",""PRITT colla Stick 11g - trays 4x25"",""100"",""1.09"",""0"""
"Pritt,""Stick"",""STD"",""8004630878130"",""2741559"",""PRITT colla Stick 11g  - Ocean "",""12"",""1.70"",""0"""
"Pritt,""Stick"",""STD"",""8004630890903"",""2741401"",""PRITT colla Stick 11g bl 3pz - Ocean "",""12"",""4.69"",""0"""
"Pritt,""Stick"",""STD"",""8004630932979"",""2978875"",""PRITT colla Stick 11g x 5 Ocean"",""12"",""7.43"",""0"""
"Pritt,""Stick"",""STD"",""8004630931118"",""2918338"",""PRITT colla Stick 11g x 2 Standard"",""12"",""3.20"",""0"""
"Pritt,""Stick"",""BTS"",""8004630931118"",""2978629"",""PRITT colla Stick 11g - bl 2 +1pz gratis BTS 2024 Cartone"",""12"",""3.20"",""0"""
